fromId,toId,toName,relationLang,from2Id,to2Id,to2Name,relation2Lang
top_regional_north_america_united_states_indiana,top_world_español_regional_américa_estados_unidos_estados_indiana,indiana,Spanish,top_world_español_regional_américa_estados_unidos_estados_indiana,spanish,spanish,Spanish
top_regional_north_america_united_states_indiana,top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_индиана,индиана,Russian,top_world_russian_страны_и_регионы_северная_америка_соединенные_штаты_америки_индиана,russian,russian,Russian
top_regional_north_america_united_states_indiana,top_world_japanese_地域_北アメリカ_アメリカ合衆国_インディアナ州,インディアナ州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_インディアナ州,japanese,japanese,Japanese
top_regional_north_america_united_states_indiana,top_world_français_régional_amérique_etats-unis_indiana,indiana,French,top_world_français_régional_amérique_etats-unis_indiana,french,french,French
top_regional_north_america_united_states_iowa,top_world_español_regional_américa_estados_unidos_estados_iowa,iowa,Spanish,top_world_español_regional_américa_estados_unidos_estados_iowa,spanish,spanish,Spanish
top_regional_north_america_united_states_iowa,top_world_japanese_地域_北アメリカ_アメリカ合衆国_アイオワ州,アイオワ州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_アイオワ州,japanese,japanese,Japanese
top_regional_north_america_united_states_iowa,top_world_français_régional_amérique_etats-unis_iowa,iowa,French,top_world_français_régional_amérique_etats-unis_iowa,french,french,French
top_regional_north_america_united_states_kansas,top_world_español_regional_américa_estados_unidos_estados_kansas,kansas,Spanish,top_world_español_regional_américa_estados_unidos_estados_kansas,spanish,spanish,Spanish
top_regional_north_america_united_states_kansas,top_world_japanese_地域_北アメリカ_アメリカ合衆国_カンザス州,カンザス州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_カンザス州,japanese,japanese,Japanese
top_regional_north_america_united_states_kansas,top_world_français_régional_amérique_etats-unis_kansas,kansas,French,top_world_français_régional_amérique_etats-unis_kansas,french,french,French
top_regional_north_america_united_states_kentucky,top_world_español_regional_américa_estados_unidos_estados_kentucky,kentucky,Spanish,top_world_español_regional_américa_estados_unidos_estados_kentucky,spanish,spanish,Spanish
top_regional_north_america_united_states_kentucky,top_world_deutsch_regional_amerika_vereinigte_staaten_kentucky,kentucky,German,top_world_deutsch_regional_amerika_vereinigte_staaten_kentucky,german,german,German
top_regional_north_america_united_states_kentucky,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ケンタッキー州,ケンタッキー州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ケンタッキー州,japanese,japanese,Japanese
top_regional_north_america_united_states_kentucky,top_world_français_régional_amérique_etats-unis_kentucky,kentucky,French,top_world_français_régional_amérique_etats-unis_kentucky,french,french,French
top_regional_north_america_united_states_localities,top_world_italiano_regionale_america_del_nord_stati_uniti_località,località,Italian,top_world_italiano_regionale_america_del_nord_stati_uniti_località,italian,italian,Italian
top_regional_north_america_united_states_localities,top_world_deutsch_regional_amerika_vereinigte_staaten_orte,orte,German,top_world_deutsch_regional_amerika_vereinigte_staaten_orte,german,german,German
top_regional_north_america_united_states_localities,top_world_japanese_地域_北アメリカ_アメリカ合衆国_市町村,市町村,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_市町村,japanese,japanese,Japanese
top_regional_north_america_united_states_louisiana,top_world_español_regional_américa_estados_unidos_estados_louisiana,louisiana,Spanish,top_world_español_regional_américa_estados_unidos_estados_louisiana,spanish,spanish,Spanish
top_regional_north_america_united_states_louisiana,top_world_deutsch_regional_amerika_vereinigte_staaten_louisiana,louisiana,German,top_world_deutsch_regional_amerika_vereinigte_staaten_louisiana,german,german,German
top_regional_north_america_united_states_louisiana,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ルイジアナ州,ルイジアナ州,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ルイジアナ州,japanese,japanese,Japanese
top_regional_north_america_united_states_louisiana,top_world_français_régional_amérique_etats-unis_louisiane,louisiane,French,top_world_français_régional_amérique_etats-unis_louisiane,french,french,French
top_regional_north_america_united_states_louisiana_arts_and_entertainment,top_world_français_régional_amérique_etats-unis_louisiane_arts_et_culture,arts et culture,French,top_world_français_régional_amérique_etats-unis_louisiane_arts_et_culture,french,french,French
top_regional_north_america_united_states_louisiana_localities,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ルイジアナ州_市町村,市町村,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ルイジアナ州_市町村,japanese,japanese,Japanese
top_regional_north_america_united_states_louisiana_localities,top_world_français_régional_amérique_etats-unis_louisiane_villes,villes,French,top_world_français_régional_amérique_etats-unis_louisiane_villes,french,french,French
top_regional_north_america_united_states_louisiana_localities_n_new_orleans,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ルイジアナ州_市町村_ニューオリンズ,ニューオリンズ,Japanese,top_world_japanese_地域_北アメリカ_アメリカ合衆国_ルイジアナ州_市町村_ニューオリンズ,japanese,japanese,Japanese
top_regional_north_america_united_states_louisiana_localities_n_new_orleans,top_world_français_régional_amérique_etats-unis_louisiane_villes_la_nouvelle-orléans,la nouvelle-orléans,French,top_world_français_régional_amérique_etats-unis_louisiane_villes_la_nouvelle-orléans,french,french,French
top_regional_north_america_united_states_louisiana_society_and_culture,top_world_français_régional_amérique_etats-unis_louisiane_société,société,French,top_world_français_régional_amérique_etats-unis_louisiane_société,french,french,French
top_regional_north_america_united_states_louisiana_society_and_culture_history,top_world_français_régional_amérique_etats-unis_louisiane_société_histoire,histoire,French,top_world_français_régional_amérique_etats-unis_louisiane_société_histoire,french,french,French
